brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,car_age,mileage_per_year,is_luxury_brand,had_accident,has_clean_title,engine_size_l,is_automatic
Mercedes-Benz,CLA-Class CLA 250,2016,120000.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,19800.0,10,12000.0,1,0,1,2.0,0
Chrysler,300 Touring,2009,134602.0,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,7500.0,17,7917.764705882353,0,0,1,3.5,0
Nissan,Rogue SV,2023,1094.0,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,None reported,Unknown,30999.0,3,364.6666666666667,0,0,0,1.5,1
Audi,A3 2.0T,2010,83500.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,6500.0,16,5218.75,1,0,1,2.0,0
Ford,Mustang GT Premium,2014,37060.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,28500.0,12,3088.3333333333335,0,0,1,5.0,0
Acura,RL Technology,2010,97700.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,10995.0,16,6106.25,0,0,1,3.7,0
Volvo,XC90 Hybrid T8 R-Design,2018,40000.0,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42000.0,8,5000.0,0,0,1,2.0,0
Audi,R8 5.2 V10,2018,8940.0,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,None reported,Unknown,99175.0,8,1117.5,1,0,0,5.2,1
Mercedes-Benz,GLK-Class GLK 350,2014,186000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,10000.0,12,15500.0,1,1,1,3.5,1
Toyota,C-HR LE,2021,13180.0,Gasoline,2.0 Liter,CVT-F,–,–,None reported,Unknown,23998.0,5,2636.0,0,0,0,,1
Lexus,IS 350 Base,2014,104000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,21000.0,12,8666.666666666666,1,0,1,3.5,1
